id,bus_id,pmu_id,event_date,event_time,vol_mag,vol_angle,current_mag,current_angle,frequency,rocof
178,BUSID_04,PMU_04,1/24/2021,21:36:00,7.9964,-11.528,0.7055,-79.598,60.027,-0.0038
179,BUSID_04,PMU_04,1/24/2021,22:23:31,7.9964,-11.527,0.7055,-79.598,60.027,-0.004
180,BUSID_04,PMU_04,1/24/2021,23:11:02,7.9964,-11.527,0.7055,-79.598,60.027,-0.004
181,BUSID_04,PMU_04,1/24/2021,0:00:00,7.9964,-11.527,0.7055,-79.598,60.027,-0.004
182,BUSID_04,PMU_04,1/24/2021,0:47:31,7.9964,-11.527,0.7055,-79.598,60.027,-0.0042
183,BUSID_04,PMU_04,1/24/2021,1:35:02,7.9964,-11.527,0.7055,-79.598,60.026,-0.0041
184,BUSID_04,PMU_04,1/24/2021,2:24:00,7.9964,-11.527,0.7055,-79.598,60.026,-0.0042
185,BUSID_04,PMU_04,1/24/2021,3:11:31,7.9964,-11.527,0.7055,-79.598,60.026,-0.0044
186,BUSID_04,PMU_04,1/24/2021,3:59:02,7.9964,-11.527,0.7055,-79.597,60.026,-0.0043
187,BUSID_04,PMU_04,1/24/2021,4:48:00,7.9964,-11.527,0.7055,-79.597,60.026,-0.0043
188,BUSID_04,PMU_04,1/24/2021,5:35:31,7.9964,-11.527,0.7055,-79.597,60.026,-0.0045
189,BUSID_04,PMU_04,1/24/2021,6:23:02,7.9964,-11.527,0.7055,-79.597,60.026,-0.0044
190,BUSID_04,PMU_04,1/24/2021,7:12:00,7.9964,-11.527,0.7055,-79.597,60.026,-0.0044
191,BUSID_04,PMU_04,1/24/2021,7:59:31,7.9963,-11.527,0.7055,-79.597,60.025,-0.0047
192,BUSID_04,PMU_04,1/24/2021,8:47:02,7.9963,-11.527,0.7055,-79.597,60.025,-0.0046
193,BUSID_04,PMU_04,1/24/2021,9:36:00,7.9963,-11.527,0.7055,-79.597,60.025,-0.0046
194,BUSID_04,PMU_04,1/24/2021,10:23:31,7.9963,-11.527,0.7055,-79.597,60.025,-0.0048
195,BUSID_04,PMU_04,1/24/2021,11:11:02,7.9963,-11.527,0.7055,-79.597,60.025,-0.0047
196,BUSID_04,PMU_04,1/24/2021,12:00:00,7.9963,-11.527,0.7055,-79.597,60.025,-0.0047
197,BUSID_04,PMU_04,1/24/2021,12:47:31,7.9963,-11.527,0.7055,-79.597,60.024,-0.0049
198,BUSID_04,PMU_04,1/24/2021,13:35:02,7.9963,-11.527,0.7055,-79.597,60.024,-0.0049
199,BUSID_04,PMU_04,1/24/2021,14:24:00,7.9963,-11.527,0.7055,-79.597,60.024,-0.0049
200,BUSID_04,PMU_04,1/24/2021,15:11:31,7.9963,-11.527,0.7055,-79.597,60.024,-0.0051
201,BUSID_04,PMU_04,1/24/2021,15:59:02,7.9963,-11.527,0.7055,-79.597,60.024,-0.005
202,BUSID_04,PMU_04,1/24/2021,16:48:00,7.9963,-11.527,0.7055,-79.596,60.024,-0.005
203,BUSID_04,PMU_04,1/24/2021,17:35:31,7.9963,-11.526,0.7055,-79.596,60.023,-0.0052
204,BUSID_04,PMU_04,1/24/2021,18:23:02,7.9963,-11.526,0.7055,-79.596,60.023,-0.0051
205,BUSID_04,PMU_04,1/24/2021,19:12:00,7.9963,-11.526,0.7055,-79.596,60.023,-0.0051
206,BUSID_04,PMU_04,1/24/2021,19:59:31,7.9963,-11.526,0.7055,-79.596,60.023,-0.0053
207,BUSID_04,PMU_04,1/24/2021,20:47:02,7.9963,-11.526,0.7055,-79.596,60.023,-0.0052
208,BUSID_04,PMU_04,1/24/2021,21:36:00,7.9963,-11.526,0.7055,-79.596,60.023,-0.0052
209,BUSID_04,PMU_04,1/24/2021,22:23:31,7.9962,-11.526,0.7055,-79.596,60.022,-0.0054
210,BUSID_04,PMU_04,1/24/2021,23:11:02,7.9962,-11.526,0.7055,-79.596,60.022,-0.0053
211,BUSID_04,PMU_04,1/24/2021,0:00:00,7.9962,-11.526,0.7055,-79.596,60.022,-0.0053
212,BUSID_04,PMU_04,1/24/2021,0:47:31,7.9962,-11.526,0.7055,-79.596,60.022,-0.0055
213,BUSID_04,PMU_04,1/24/2021,1:35:02,7.9962,-11.526,0.7055,-79.596,60.022,-0.0054
214,BUSID_04,PMU_04,1/24/2021,2:24:00,7.9962,-11.526,0.7055,-79.596,60.022,-0.0054
215,BUSID_04,PMU_04,1/24/2021,3:11:31,7.9962,-11.526,0.7055,-79.596,60.021,-0.0056
216,BUSID_04,PMU_04,1/24/2021,3:59:02,7.9962,-11.526,0.7055,-79.595,60.021,-0.0055
217,BUSID_04,PMU_04,1/24/2021,4:48:00,7.9962,-11.526,0.7055,-79.595,60.021,-0.0055
218,BUSID_04,PMU_04,1/24/2021,5:35:31,7.9962,-11.526,0.7055,-79.595,60.021,-0.0057
219,BUSID_04,PMU_04,1/24/2021,6:23:02,7.9962,-11.526,0.7055,-79.595,60.021,-0.0056
220,BUSID_04,PMU_04,1/24/2021,7:12:00,7.9962,-11.526,0.7055,-79.595,60.02,-0.0056
221,BUSID_04,PMU_04,1/24/2021,7:59:31,7.9962,-11.526,0.7055,-79.595,60.02,-0.0058
222,BUSID_04,PMU_04,1/24/2021,8:47:02,7.9962,-11.525,0.7055,-79.595,60.02,-0.0057
223,BUSID_04,PMU_04,1/24/2021,9:36:00,7.9962,-11.526,0.7055,-79.595,60.02,-0.0056
224,BUSID_04,PMU_04,1/24/2021,10:23:31,7.9962,-11.526,0.7055,-79.595,60.02,-0.0059
225,BUSID_04,PMU_04,1/24/2021,11:11:02,7.9962,-11.525,0.7055,-79.595,60.019,-0.0057
226,BUSID_04,PMU_04,1/24/2021,12:00:00,7.9962,-11.525,0.7055,-79.595,60.019,-0.0057
227,BUSID_04,PMU_04,1/24/2021,12:47:31,7.9962,-11.525,0.7055,-79.595,60.019,-0.0059
228,BUSID_04,PMU_04,1/24/2021,13:35:02,7.9961,-11.525,0.7055,-79.594,60.019,-0.0058
229,BUSID_04,PMU_04,1/24/2021,14:24:00,7.9961,-11.525,0.7055,-79.594,60.019,-0.0058
230,BUSID_04,PMU_04,1/24/2021,15:11:31,7.9961,-11.525,0.7055,-79.594,60.019,-0.006
231,BUSID_04,PMU_04,1/24/2021,15:59:02,7.9961,-11.525,0.7055,-79.594,60.018,-0.0058
232,BUSID_04,PMU_04,1/24/2021,16:48:00,7.9961,-11.525,0.7055,-79.594,60.018,-0.0058
233,BUSID_04,PMU_04,1/24/2021,17:35:31,7.9961,-11.525,0.7055,-79.594,60.018,-0.006
234,BUSID_04,PMU_04,1/24/2021,18:23:02,7.9961,-11.525,0.7055,-79.594,60.018,-0.0059
235,BUSID_04,PMU_04,1/24/2021,19:12:00,7.9961,-11.525,0.7055,-79.594,60.017,-0.0059
236,BUSID_04,PMU_04,1/24/2021,19:59:31,7.9961,-11.525,0.7055,-79.594,60.017,-0.0061
237,BUSID_04,PMU_04,1/24/2021,20:47:02,7.9961,-11.525,0.7055,-79.594,60.017,-0.006
238,BUSID_04,PMU_04,1/24/2021,21:36:00,7.9961,-11.525,0.7055,-79.594,60.017,-0.0059
239,BUSID_04,PMU_04,1/24/2021,22:23:31,7.9961,-11.525,0.7055,-79.594,60.017,-0.0062
