Time,Voltage Magnitude,Voltage Angle,Current Magnitude,Current Angle,Frequency,ROCOF
9.6,7.9959,-11.522,0.7055,-79.59,60.007,-0.0058
9.633,7.9958,-11.522,0.7055,-79.59,60.006,-0.006
9.666,7.9958,-11.522,0.7055,-79.59,60.006,-0.0058
9.7,7.9958,-11.522,0.7055,-79.59,60.006,-0.0057
9.733,7.9958,-11.522,0.7055,-79.59,60.006,-0.0059
9.766,7.9958,-11.522,0.7055,-79.59,60.006,-0.0057
9.8,7.9958,-11.522,0.7055,-79.589,60.005,-0.0056
9.833,7.9958,-11.522,0.7055,-79.589,60.005,-0.0059
9.866,7.9958,-11.522,0.7055,-79.589,60.005,-0.0056
9.9,7.9958,-11.522,0.7055,-79.589,60.005,-0.0056
9.933,7.9958,-11.522,0.7055,-79.589,60.005,-0.0058
9.966,7.9958,-11.522,0.7055,-79.589,60.005,-0.0056
10,7.9958,-11.522,0.7055,-79.589,60.004,-0.0055
10.033,7.9958,-11.522,0.7055,-79.589,60.004,-0.0057
10.066,7.9958,-11.522,0.7055,-79.589,60.004,-0.0055
10.1,7.9958,-11.522,0.7055,-79.589,60.004,-0.0054
10.133,7.9958,-11.522,0.7055,-79.589,60.004,-0.0057
10.166,7.9958,-11.522,0.7055,-79.589,60.003,-0.0054
10.2,7.9958,-11.522,0.7055,-79.589,60.003,-0.0053
10.233,7.9958,-11.522,0.7055,-79.589,60.003,-0.0056
10.266,7.9958,-11.522,0.7055,-79.588,60.003,-0.0053
10.3,7.9958,-11.522,0.7055,-79.588,60.003,-0.0053
10.333,7.9958,-11.522,0.7055,-79.588,60.002,-0.0055
10.366,7.9958,-11.521,0.7055,-79.588,60.002,-0.0052
10.4,7.9958,-11.522,0.7055,-79.588,60.002,-0.0052
10.433,7.9958,-11.521,0.7055,-79.588,60.002,-0.0054
10.466,7.9958,-11.521,0.7055,-79.588,60.002,-0.0052
10.5,7.9958,-11.521,0.7055,-79.588,60.002,-0.0051
10.533,7.9957,-11.521,0.7055,-79.588,60.001,-0.0053
10.566,7.9957,-11.521,0.7055,-79.588,60.001,-0.005
10.6,7.9957,-11.521,0.7055,-79.588,60.001,-0.005
10.633,7.9957,-11.521,0.7055,-79.588,60.001,-0.0052
10.666,7.9957,-11.521,0.7055,-79.588,60.001,-0.005
10.7,7.9957,-11.521,0.7055,-79.588,60.001,-0.0049
10.733,7.9957,-11.521,0.7055,-79.588,60,-0.0051
10.766,7.9957,-11.521,0.7055,-79.588,60,-0.0049
10.8,7.9957,-11.521,0.7055,-79.587,60,-0.0048
10.833,7.9957,-11.521,0.7055,-79.587,60,-0.005
10.866,7.9957,-11.521,0.7055,-79.587,60,-0.0047
10.9,7.9957,-11.521,0.7055,-79.587,60,-0.0047
10.933,7.9957,-11.521,0.7055,-79.587,59.999,-0.0049
10.966,7.9957,-11.521,0.7055,-79.587,59.999,-0.0046
11,7.9957,-11.521,0.7055,-79.587,59.999,-0.0046
11.033,7.9957,-11.521,0.7055,-79.587,59.999,-0.0048
11.066,7.9957,-11.521,0.7055,-79.587,59.999,-0.0045
11.1,7.9957,-11.521,0.7055,-79.587,59.999,-0.0045
11.133,7.9957,-11.521,0.7055,-79.587,59.998,-0.0047
11.166,7.9957,-11.521,0.7055,-79.587,59.998,-0.0044
11.2,7.9957,-11.521,0.7055,-79.587,59.998,-0.0044
11.233,7.9957,-11.521,0.7055,-79.587,59.998,-0.0046
11.266,7.9957,-11.521,0.7055,-79.587,59.998,-0.0043
11.3,7.9957,-11.521,0.7055,-79.587,59.998,-0.0042
11.333,7.9957,-11.52,0.7055,-79.587,59.998,-0.0045
11.366,7.9957,-11.521,0.7055,-79.587,59.998,-0.0042
